"ssvid","ais_imo","poor_id","vessel_id","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","vessel_id_1","npg_2026_phase_1","npg_2026_phase_2","vv_url"
"412440685",NA,FALSE,"8a488af23-3445-c221-036c-f6e11818efc8","FU YUAN YU 8677","BZUY7","CHN","fishing","fishing","412440685-8a488af23-3445-c221-036c-f6e11818efc8-019daf82f728",2026-04-21 10:08:09,"CHN","NINGBO",4,9.54,0,1,0,"8a488af23-3445-c221-036c-f6e11818efc8",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8a488af23-3445-c221-036c-f6e11818efc8?&start=2026-03-01&end=2026-04-30"")"
"412440697",NA,FALSE,"959b1d382-2363-06eb-df28-0111e97c99f8","FU YUAN YU8661","BZUW7","CHN","fishing","fishing","412440697-959b1d382-2363-06eb-df28-0111e97c99f8-019d8670d5f8",2026-04-13 10:43:55,"CHN","CHN-2289",4,17.54,0,6,14,"959b1d382-2363-06eb-df28-0111e97c99f8",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/959b1d382-2363-06eb-df28-0111e97c99f8?&start=2026-03-01&end=2026-04-30"")"
"412440807","9931006",FALSE,"fed0a376d-d79c-fdff-dacb-fc44204f578a","FU YUAN YU 7007","BZU1D","CHN","fishing","fishing","412440807-fed0a376d-d79c-fdff-dacb-fc44204f578a-019d3883ccd8",2026-03-29 07:34:15,"CHN","SHIDAO",4,32.67,0,24,27,"fed0a376d-d79c-fdff-dacb-fc44204f578a",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fed0a376d-d79c-fdff-dacb-fc44204f578a?&start=2026-03-01&end=2026-04-30"")"
"412549057",NA,FALSE,"606c8f6a6-6645-037c-5b33-06ddc94b269c","ZHEPUYUANLENG7","BZV8S","CHN","carrier","carrier","412549057-606c8f6a6-6645-037c-5b33-06ddc94b269c-019d966f6118",2026-04-16 13:16:15,"CHN","HONGKONG",4,14.42,0,1,0,"606c8f6a6-6645-037c-5b33-06ddc94b269c",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/606c8f6a6-6645-037c-5b33-06ddc94b269c?&start=2026-03-01&end=2026-04-30"")"
"412549133",NA,FALSE,"71e26b0f7-7c79-c2ba-7708-9f7ce6358652","LURONGYUANYU301","BZZU4","CHN","fishing","fishing","412549133-71e26b0f7-7c79-c2ba-7708-9f7ce6358652-019d2db3eea0",2026-03-27 05:11:00,"CHN","SHIDAO",4,34.75,0,6,9,"71e26b0f7-7c79-c2ba-7708-9f7ce6358652",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/71e26b0f7-7c79-c2ba-7708-9f7ce6358652?&start=2026-03-01&end=2026-04-30"")"
"412549134",NA,FALSE,"118dfaede-e384-d872-5857-082339a5fdf8","LURONGYUANYU302","BZZU5","CHN","fishing","fishing","412549134-118dfaede-e384-d872-5857-082339a5fdf8-019d888258a8",2026-04-13 20:22:17,"CHN","SHIDAO",4,17.13,0,2,4,"118dfaede-e384-d872-5857-082339a5fdf8",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/118dfaede-e384-d872-5857-082339a5fdf8?&start=2026-03-01&end=2026-04-30"")"
"412549134",NA,FALSE,"3af16b887-7691-579a-1ff0-6de31816c9cb","LURONGYUANYU302","BBZU5","CHN","fishing","fishing","412549134-3af16b887-7691-579a-1ff0-6de31816c9cb-019d2dab76a8",2026-03-27 05:01:45,"CHN","SHIDAO",4,34.75,0,0,4,"3af16b887-7691-579a-1ff0-6de31816c9cb",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3af16b887-7691-579a-1ff0-6de31816c9cb?&start=2026-03-01&end=2026-04-30"")"
"412549135",NA,FALSE,"733973421-17ee-8d5c-92b4-036314d53725","LU RONG YUAN YU 303","BZZU6","CHN","fishing","fishing","412549135-733973421-17ee-8d5c-92b4-036314d53725-019d2db30c10",2026-03-27 05:10:02,"CHN","SHIDAO",4,34.75,0,10,30,"733973421-17ee-8d5c-92b4-036314d53725",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/733973421-17ee-8d5c-92b4-036314d53725?&start=2026-03-01&end=2026-04-30"")"
"412549136",NA,FALSE,"e078fb4ba-ad2d-8882-597b-c4a994f06e20","LURONGYUANYU305","BZZU7","CHN","fishing","fishing","412549136-e078fb4ba-ad2d-8882-597b-c4a994f06e20-019d2db0c9f0",2026-03-27 05:07:34,"CHN","SHIDAO",4,34.75,0,3,9,"e078fb4ba-ad2d-8882-597b-c4a994f06e20",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e078fb4ba-ad2d-8882-597b-c4a994f06e20?&start=2026-03-01&end=2026-04-30"")"
"412549137",NA,FALSE,"8a91a894c-c97e-d8b2-6845-fd34e48dc13f","LURONGYUANYU306","BZZU8","CHN","fishing","fishing","412549137-8a91a894c-c97e-d8b2-6845-fd34e48dc13f-019d2db1faa0",2026-03-27 05:08:52,"CHN","SHIDAO",4,34.75,0,5,8,"8a91a894c-c97e-d8b2-6845-fd34e48dc13f",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8a91a894c-c97e-d8b2-6845-fd34e48dc13f?&start=2026-03-01&end=2026-04-30"")"
