MMSI,IMO,Vessel Name,Flag,Vessel Type,Category,Gear Types,Length (m),Skylight Link,dark_rendezvous (Phase 1),fishing_activity_history (Phase 1),standard_rendezvous (Phase 1),viirs (Phase 1),Total (Phase 1),dark_rendezvous (Phase 2),fishing_activity_history (Phase 2),standard_rendezvous (Phase 2),viirs (Phase 2),Total (Phase 2),Grand Total,Area Presence,New Vessel since 2025 (based on MMSI)
432927000,9668427,KAIYOMARU NO51,Japan,FISHING,fishing,TRAWLERS,64,https://app.skylight.earth/vesseldetails/432927000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,1,44,0,0,45,45,Outside Phase 1 only,No
431215000,9992218,SHOSHIN MARU NO.18,Japan,FISHING,fishing,"DRIFTNETS, SET_GILLNETS",57,https://app.skylight.earth/vesseldetails/431215000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,1,9,0,0,10,10,Outside Phase 1 only,No
416005220,9819791,CHUN I NO.12,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,64,https://app.skylight.earth/vesseldetails/416005220?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,9,0,0,9,10,Both,No
416002222,8534423,DA-SHENG-YI-,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,21,https://app.skylight.earth/vesseldetails/416002222?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,0,7,0,1,8,8,Outside Phase 1 only,Yes
412549488,8573118,FU YUAN YU 8282,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549488?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,7,0,0,7,0,0,0,0,0,7,Inside Phase 1 only,No
412549489,8573120,FUYUANYU8283,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549489?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,6,0,0,6,0,0,0,0,0,6,Inside Phase 1 only,No
416002826,8792752,LIAN YU YU NO.2,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,26,https://app.skylight.earth/vesseldetails/416002826?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,2,1,0,4,0,0,2,0,2,6,Both,Yes
412549496,8573170,FUYUANYU8289,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549496?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,4,0,0,4,0,0,0,0,0,4,Inside Phase 1 only,No
412440807,9931006,FU YUAN YU 7007,China,FISHING,fishing,SQUID_JIGGER,74,https://app.skylight.earth/vesseldetails/412440807?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,2,0,2,4,0,0,0,0,0,4,Inside Phase 1 only,No
412549487,8573106,FU YUAN YU 8281,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549487?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,3,0,0,3,0,0,0,0,0,3,Inside Phase 1 only,No
412549491,8573132,FU YUAN YU 8285,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549491?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,3,0,0,3,0,0,0,0,0,3,Inside Phase 1 only,No
412549368,9934527,FUYUANYU  8640,China,FISHING,fishing,SQUID_JIGGER,67,https://app.skylight.earth/vesseldetails/412549368?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,1,0,0,2,0,0,0,0,0,2,Inside Phase 1 only,No
416001414,8546529,MAN YI NO 168,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,26,https://app.skylight.earth/vesseldetails/416001414?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,0,2,0,0,2,2,Outside Phase 1 only,Yes
416001519,8530142,SHENG FU YU NO.168,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,23,https://app.skylight.earth/vesseldetails/416001519?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,2,0,0,0,2,2,Outside Phase 1 only,Yes
416005188,9817688,CHUN I NO.11,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,64,https://app.skylight.earth/vesseldetails/416005188?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,0,2,0,0,2,2,Outside Phase 1 only,No
412549493,8573156,FU YUAN YU 8287,China,FISHING,fishing,SQUID_JIGGER,58,https://app.skylight.earth/vesseldetails/412549493?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
412549512,9930894,FU YUAN YU 7012,China,FISHING,fishing,SQUID_JIGGER,74,https://app.skylight.earth/vesseldetails/412549512?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
412440241,8549210,FUYUANYU658,China,FISHING,fishing,SQUID_JIGGER,51,https://app.skylight.earth/vesseldetails/412440241?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
412549136,9895393,LURONGYUANYU305,China,FISHING,fishing,SQUID_JIGGER,61,https://app.skylight.earth/vesseldetails/412549136?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
412549364,8636,FUYUANYU8636,China,FISHING,fishing,SQUID_JIGGER,57,https://app.skylight.earth/vesseldetails/412549364?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
416000013,8550702,HORNG YIH FWU NO268,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,25,https://app.skylight.earth/vesseldetails/416000013?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,0,0,0,1,1,1,Outside Phase 1 only,Yes
412209143,8540264,JU LONG JIA YA 10,China,FISHING,fishing,SQUID_JIGGER,51,https://app.skylight.earth/vesseldetails/412209143?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
412549216,9900758,FU YUAN YU8292,China,FISHING,fishing,SQUID_JIGGER,66,https://app.skylight.earth/vesseldetails/412549216?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
416000405,129,JIN CHINQ FUH NO 62,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,25,https://app.skylight.earth/vesseldetails/416000405?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
416212800,8537803,CHYUAN SHENG NO.226,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,26,https://app.skylight.earth/vesseldetails/416212800?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,0,0,1,0,1,1,Outside Phase 1 only,Yes
416001833,8795340,CHINLONGFA,Taiwan,FISHING,fishing,DRIFTING_LONGLINES,22,https://app.skylight.earth/vesseldetails/416001833?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
412413498,,ZHESHENGYU07789,China,FISHING,fishing,,,https://app.skylight.earth/vesseldetails/412413498?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
412438821,,ZHEFENGYU16061,China,FISHING,fishing,,,https://app.skylight.earth/vesseldetails/412438821?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
576682000,9260237,DA YU NO.2,Vanuatu,FISHING,fishing,DRIFTING_LONGLINES,50,https://app.skylight.earth/vesseldetails/576682000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
432561000,9099286,KOUEI-MARU-NO.31,Japan,FISHING,fishing,FISHING,32,https://app.skylight.earth/vesseldetails/432561000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No
431383000,8221179,ZAO,Japan,SAR,sar,,105,https://app.skylight.earth/vesseldetails/431383000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
431243000,7804405,TSUGARU,Japan,SAR,sar,,106,https://app.skylight.earth/vesseldetails/431243000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
431010000,8714700,HAKUHO MARU,Japan,SHIP,other,,100,https://app.skylight.earth/vesseldetails/431010000?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,1,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
538008655,9868780,LAKE STARS,Marshall Islands,TANKER,tanker,,250,https://app.skylight.earth/vesseldetails/538008655?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,0,0,0,0,1,0,0,1,2,2,Outside Phase 1 only,Yes
563227500,9358682,SANMAR RAGA,Singapore,TANKER,tanker,,155,https://app.skylight.earth/vesseldetails/563227500?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
563097700,9839727,ROBERTO,Singapore,TANKER,tanker,,230,https://app.skylight.earth/vesseldetails/563097700?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
257033170,9272199,CHAMPION CONTEST,Norway,TANKER_NAI,tanker,,183,https://app.skylight.earth/vesseldetails/257033170?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,1,0,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,Yes
