"ssvid","ais_imo","poor_id","vessel_id","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","vessel_id_1","npg_2026_phase_1","npg_2026_phase_2","vv_url"
"259023000","9138513",FALSE,"54af12dc7-7ad2-43ca-75bc-5df4811a704c","DON PASQUALE","LATF8","NOR","fishing","set_longlines","259023000-54af12dc7-7ad2-43ca-75bc-5df4811a704c-019d95c26bc0",2026-04-16 10:07:20,"KOR","KOR-165",4,14.54,0,0,0,"54af12dc7-7ad2-43ca-75bc-5df4811a704c",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/54af12dc7-7ad2-43ca-75bc-5df4811a704c?&start=2026-04-14&end=2026-04-30"")"
"259286000","7633375",FALSE,"46ce3cee0-065c-8b3a-311b-a18ef9cd75be","SUNNANVIK","LACS9","NOR","fishing","inconclusive","259286000-46ce3cee0-065c-8b3a-311b-a18ef9cd75be-019dbddb0220",2026-04-24 04:59:00,"KOR","BUSAN",3,6.79,0,0,2,"46ce3cee0-065c-8b3a-311b-a18ef9cd75be",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/46ce3cee0-065c-8b3a-311b-a18ef9cd75be?&start=2026-04-22&end=2026-04-30"")"
"311000712","9795969",FALSE,"fe7de779a-a3c2-9969-ec1f-82a537ad1db9","ORANGE SPIRIT","C6DL6","BHS","carrier","carrier","311000712-fe7de779a-a3c2-9969-ec1f-82a537ad1db9-019daf61ea38",2026-04-21 09:32:03,"USA","DUTCH HARBOR",4,9.58,0,0,0,"fe7de779a-a3c2-9969-ec1f-82a537ad1db9",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fe7de779a-a3c2-9969-ec1f-82a537ad1db9?&start=2026-04-19&end=2026-04-30"")"
"311957000","8917572",FALSE,"ca65d28b3-37df-4bb1-d58c-12626338e41b","PERUVIAN REEFER","C6UM3","BHS","carrier","carrier","311957000-ca65d28b3-37df-4bb1-d58c-12626338e41b-019dcd34e4e8",2026-04-27 04:31:29,"CHN","DALIAN",3,3.79,0,0,0,"ca65d28b3-37df-4bb1-d58c-12626338e41b",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ca65d28b3-37df-4bb1-d58c-12626338e41b?&start=2026-04-25&end=2026-04-30"")"
"351537000","8688755",FALSE,"9d12abf11-16b3-c247-7aed-d56b541266e5","RUI SHENG","3FOH6","PAN","carrier","carrier","351537000-9d12abf11-16b3-c247-7aed-d56b541266e5-019d5cc7a4e8",2026-04-05 08:34:41,"CHN","NINGBO",4,25.63,0,0,0,"9d12abf11-16b3-c247-7aed-d56b541266e5",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9d12abf11-16b3-c247-7aed-d56b541266e5?&start=2026-04-03&end=2026-04-30"")"
"351698000","9412749",FALSE,"4fd0ef491-17e1-8e12-f7dd-5bd27714981d","LADY ROSEBUD","3FAF5","PAN","carrier","carrier","351698000-4fd0ef491-17e1-8e12-f7dd-5bd27714981d-019dc92c60b0",2026-04-26 09:43:42,"JPN","YOKKAICHI",4,4.58,0,0,0,"4fd0ef491-17e1-8e12-f7dd-5bd27714981d",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4fd0ef491-17e1-8e12-f7dd-5bd27714981d?&start=2026-04-24&end=2026-04-30"")"
"352001478","9940693",FALSE,"9867f6c91-147e-4afb-6fe3-a817dc7603e3","TUNA QUEEN","3E2495","PAN","carrier","carrier","352001478-9867f6c91-147e-4afb-6fe3-a817dc7603e3-019dcee8de48",2026-04-27 12:27:41,"KOR","BUSAN",3,3.46,0,0,0,"9867f6c91-147e-4afb-6fe3-a817dc7603e3",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9867f6c91-147e-4afb-6fe3-a817dc7603e3?&start=2026-04-25&end=2026-04-30"")"
"353079000","9851206",FALSE,"0a70cd00e-e797-112e-6556-0fe8bf7ff656","BOYANG ALASKA","3FDP7","PAN","carrier","carrier","353079000-0a70cd00e-e797-112e-6556-0fe8bf7ff656-019da5259d58",2026-04-19 09:49:59,"USA","USA-1554",4,11.58,0,0,0,"0a70cd00e-e797-112e-6556-0fe8bf7ff656",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0a70cd00e-e797-112e-6556-0fe8bf7ff656?&start=2026-04-17&end=2026-04-30"")"
"357058000","9227601",FALSE,"14c80b768-85e1-7ec2-6e02-23747f821c2f","NO.2 POHAH","3FWC9","PAN","carrier","carrier","357058000-14c80b768-85e1-7ec2-6e02-23747f821c2f-019dcc2bd570",2026-04-26 23:41:58,"USA","DUTCH HARBOR",3,4,0,0,0,"14c80b768-85e1-7ec2-6e02-23747f821c2f",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/14c80b768-85e1-7ec2-6e02-23747f821c2f?&start=2026-04-24&end=2026-04-30"")"
"371542000","8714944",FALSE,"99406f278-8fa6-82a4-971a-a2017bef20fa","NO1 POHAH","3FSS6","PAN","carrier","carrier","371542000-99406f278-8fa6-82a4-971a-a2017bef20fa-019dd1429d28",2026-04-27 23:24:57,"USA","USA-1824",3,3,0,0,0,"99406f278-8fa6-82a4-971a-a2017bef20fa",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/99406f278-8fa6-82a4-971a-a2017bef20fa?&start=2026-04-25&end=2026-04-30"")"
