"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Vessel.Name","skylight_Flag","skylight_Vessel.Type","skylight_Category","skylight_Gear.Types","skylight_Length..m.","skylight_Skylight.Link","skylight_dark_rendezvous..Phase.1.","skylight_fishing_activity_history..Phase.1.","skylight_standard_rendezvous..Phase.1.","skylight_viirs..Phase.1.","skylight_Total..Phase.1.","skylight_dark_rendezvous..Phase.2.","skylight_fishing_activity_history..Phase.2.","skylight_standard_rendezvous..Phase.2.","skylight_viirs..Phase.2.","skylight_Total..Phase.2.","skylight_Grand.Total","skylight_Area.Presence","skylight_New.Vessel.since.2025..based.on.MMSI.","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025"
"351537000","8688755","RUI SHENG","3FOH6","PAN","carrier","carrier",2026-04-05 08:34:41,"CHN","NINGBO",4,25.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9d12abf11-16b3-c247-7aed-d56b541266e5?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"412209135",NA,"JU LONG JIA YA 3","BZYS4","CHN","fishing","fishing",2026-03-28 11:37:17,"CHN","CHN-170",4,33.5,0,6,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/13b2ff18f-fa9a-2e1c-863e-470e0c73a469?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE
"412209136","8540525","XIN HAI 1259","BZYS5","CHN","fishing","fishing",2026-04-10 09:22:34,"CHN","CHN-2289",4,20.58,0,10,24,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/562a1eaf7-70cf-21c4-2695-d3747bbbe883?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"JU LONG JIA YA 4","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","[XIN HAI 1219, XIN HAI 1225]","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412209139",NA,"XIN HAI 1209","BZYS8","CHN","fishing","fishing",2026-04-10 09:17:38,"CHN","CHN-2289",4,20.58,0,4,5,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/51d002bfc-c972-31f8-a9c4-08cdbe926447?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"JU LONG JIA YA 7","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412209142",NA,"XINHAI1219","BZYT2","CHN","fishing","fishing",2026-03-31 09:40:13,"CHN","CHN-2289",4,30.58,0,5,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad5df6b76-6c75-f40d-0033-6c591aebb97d?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"JU LONG JIA YA 9","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412209143","8540264","JU LONG JIA YA 10","BZYT3","CHN","fishing","fishing",2026-03-31 10:54:09,"CHN","CHN-2289",4,30.54,0,9,20,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bedbd7020-0a1b-a462-4001-396be0410c24?&start=2026-03-01&end=2026-04-30"")",8540264,"JU LONG JIA YA 10","China","FISHING","fishing","SQUID_JIGGER",51,"https://app.skylight.earth/vesseldetails/412209143?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z",0,1,0,0,1,0,0,0,0,0,1,"Inside Phase 1 only","No",859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","[JU LONG JIA YA 28, JU RONG YU 11, JU RONG YU 9]","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE
"412331208",NA,"FV.LUWEIYUANYUYUN777","BBIT7","CHN","carrier","carrier",2026-04-03 23:55:01,"CHN","SHIDAO",4,27,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c5a8ad39b-b454-cd67-101b-d51eeeb77a0f?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563,0,2015,"","WEIHAI, SHANDONG","CHINA","SHANDONG BAIMA FISHERY","WEIHAI HUANHAI AQUATIC","CHINA","WEIHAI HUANHAI AQUATIC","WEIHAI HUANHAI AQUATIC"," ","Sister Ship","","","Human Rights / Forced Labor","Vessel owners Weihai Huanhai and Shandong Baima were listed as the owners of the WEI YU 18 - this vessel was the subject of an Outlaw Ocean investigation that found forced labour conditions onboard, which resulted in the death of a crew member","WEI YU 18","https://www.seafoodsource.com/news/premium/supply-trade/calls-for-cbp-action-against-forced-labor-in-seafood-grow-in-wake-of-outlaw-ocean-report",TRUE,FALSE
"412420418",NA,"ZHOUHONGYUAN2","BZ2VF","CHN","fishing","squid_jigger",2026-04-02 02:08:13,"CHL","PUNTA ARENAS",4,28.88,0,5,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/371af0396-6341-87bf-cb43-968de6b14d88?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"412420954",NA,"XIN HAI 61","BZV2S","CHN","fishing","fishing",2026-04-15 08:08:37,"CHN","NINGBO",4,15.63,0,5,5,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2454ae9dc-cfad-2f69-07a9-915bc8c16787?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,0,2011,"ZHE PU YU 12809","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412420956",NA,"XIN HAI 62","BZV3S","CHN","fishing","fishing",2026-04-15 08:13:56,"CHN","NINGBO",4,15.63,0,7,31,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebae40948-80c7-f3b1-79fc-f49ee969f421?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,0,2012,"ZHE PU YU 12807","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
