"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Vessel.Name","skylight_Flag","skylight_Vessel.Type","skylight_Category","skylight_Gear.Types","skylight_Length..m.","skylight_Skylight.Link","skylight_dark_rendezvous..Phase.1.","skylight_fishing_activity_history..Phase.1.","skylight_standard_rendezvous..Phase.1.","skylight_viirs..Phase.1.","skylight_Total..Phase.1.","skylight_dark_rendezvous..Phase.2.","skylight_fishing_activity_history..Phase.2.","skylight_standard_rendezvous..Phase.2.","skylight_viirs..Phase.2.","skylight_Total..Phase.2.","skylight_Grand.Total","skylight_Area.Presence","skylight_New.Vessel.since.2025..based.on.MMSI.","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025"
"412420978","8783402","ZHOU YU 903","BZV6W","CHN","fishing","fishing",2026-04-19 17:27:44,"CHN","ZHOUSHAN",4,11.25,0,2,11,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2f1c47926-6bbd-4a2e-95df-03304c060e87?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,43.5,2015,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE
"412420982","8783414","ZHOU YU 904","BZV7W","CHN","fishing","fishing",2026-04-14 08:49:54,"CHN","ZHOUSHAN",4,16.63,0,2,41,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/edb86f227-7cdd-fcea-cae7-2f1eaf405166?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,43.5,2015,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE
"412421008",NA,"XIN HAI 1206","BZV4Z","CHN","fishing","fishing",2026-04-10 09:45:03,"CHN","CHN-2289",4,20.58,0,4,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/baa8c4c19-9961-d924-0860-1131b7e3e9d6?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,0,2016,"","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421011",NA,"XIN HAI 1208","BZV6Z","CHN","fishing","fishing",2026-04-10 09:37:50,"CHN","CHN-2289",4,20.58,0,7,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2e45ce64f-f565-8a0e-ee1e-0b059565e65c?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,0,2016,"","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421012",NA,"XINHAI1207","BZV5Z","CHN","fishing","fishing",2026-04-10 09:40:28,"CHN","CHN-2289",4,20.58,0,2,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/73304b604-4727-e368-9cc6-ecbb16ec4c7a?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,0,2016,"","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421035",NA,"XIN HAI 1225","BZW8E","CHN","fishing","fishing",2026-03-31 11:08:20,"CHN","CHN-2289",4,30.5,0,4,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/920c1cd06-62cd-c834-4881-582b57f04169?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611,0,2011,"ZHE PU YU 12888","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Yes","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421036",NA,"XIN HAI 79","BZW9E","CHN","fishing","fishing",2026-04-15 08:22:35,"CHN","NINGBO",4,15.63,0,7,29,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b3fd913a6-67ff-be7a-b7db-851a6d4545ea?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,0,2012,"ZHE PU YU 82222","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421075",NA,"XIN HAI 1273","BZW5L","CHN","fishing","fishing",2026-03-28 11:44:39,"CHN","CHN-2289",4,33.5,0,11,12,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/84c14dc2c-c409-cbca-d694-f55fab531b97?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,0,2012,"ZHE PU YU 80016","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421076","8788062","XIN HAI 1235","BZW4L","CHN","fishing","fishing",2026-03-31 10:44:20,"CHN","CHN-2289",4,30.54,0,15,19,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/26ed9cf93-3621-89ad-42a0-0506f802b1d9?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706,0,2012,"ZHE PU YU 32397","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","[XIN HAI 1219, XIN HAI 1225]","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE
"412421139","9861110","ZHOU YU 909","BZUL7","CHN","fishing","fishing",2026-04-22 09:08:58,"CHN","ZHOUSHAN",4,8.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2868d475c-cecb-3573-ad78-c9e9046a70d2?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,43.5,2018,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE
"412421146","9861122","ZHOU YU 910","BZUL8","CHN","fishing","fishing",2026-04-22 08:31:27,"CHN","ZHOUSHAN",3,8.63,0,0,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/80301ea4e-ea4e-4bb8-0f33-4ddc6fc2a19b?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,43.5,2018,"","ZHOUSHAN, ZHEJIANG","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS","CHINA","CNFC ZHOUSHAN OVERSEAS","CNFC ZHOUSHAN OVERSEAS"," ","Sister Ship","","","Multiple","ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ","","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE
"412440222",NA,"FU YUAN YU 666","BVKS8","CHN","fishing","fishing",2026-03-20 10:19:53,"CHN","XIAMEN",4,41.54,0,14,31,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/836df9804-4063-a96f-f09c-b5a01769e02e?&start=2026-03-01&end=2026-04-30"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,50.52,2013,"","FUZHOU, FUJIAN","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY","CHINA","HUIAN CHONGWU YONGFENG FISHERY","HUIAN CHONGWU YONGFENG FISHERY"," ","","","","","","","",TRUE,FALSE
