MMSI,ais_imo,ais_shipname,ais_callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing,npg_2026_phase_1,npg_2026_phase_2,vv_url,skylight_IMO,skylight_Vessel.Name,skylight_Flag,skylight_Vessel.Type,skylight_Category,skylight_Gear.Types,skylight_Length..m.,skylight_Skylight.Link,skylight_dark_rendezvous..Phase.1.,skylight_fishing_activity_history..Phase.1.,skylight_standard_rendezvous..Phase.1.,skylight_viirs..Phase.1.,skylight_Total..Phase.1.,skylight_dark_rendezvous..Phase.2.,skylight_fishing_activity_history..Phase.2.,skylight_standard_rendezvous..Phase.2.,skylight_viirs..Phase.2.,skylight_Total..Phase.2.,skylight_Grand.Total,skylight_Area.Presence,skylight_New.Vessel.since.2025..based.on.MMSI.,IHS_GrossTonnage,IHS_LengthOverallLOA.Meters.,IHS_YearOfBuild,IHS_ExName,IHS_PortofRegistry,CountryOfControlName,IHS_GroupBeneficialOwner,IHS_RegisteredOwner,IHS_RegisteredOwnerCountryOfRegistration,IHS_Operator,IHS_ShipManager,IHS_TechnicalManager,Non.Compliance.History..yes...sister.ship.,Type.of.Non.Compliance,Vessel.Non.Compliance.Description,SisterShip.s.Type.of.Non.Compliance,Sister.Ship.Non.Compliance.Description,SisterShipWithNonComplianceConcerns,Sources,phase1_2025,phase2_2025
259023000,9138513,DON PASQUALE,LATF8,NOR,fishing,set_longlines,16/04/2026 10:07,KOR,KOR-165,4,14.54,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/54af12dc7-7ad2-43ca-75bc-5df4811a704c?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67141,227.9,1997,,BERGEN,SWEDEN,WALLENIUS LINES AB,WALLENIUS WILHELMSEN NORWAY AS,NORWAY,WALLENIUS WILHELMSEN NORWAY AS,WALLENIUS WILHELMSEN NORWAY AS,WALLENIUS MARINE AB,,,,,,,,TRUE,FALSE
259286000,7633375,SUNNANVIK,LACS9,NOR,fishing,inconclusive,24/04/2026 04:59,KOR,BUSAN,3,6.79,0,0,2,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/46ce3cee0-065c-8b3a-311b-a18ef9cd75be?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
311000712,9795969,ORANGE SPIRIT,C6DL6,BHS,carrier,carrier,21/04/2026 09:32,USA,DUTCH HARBOR,4,9.58,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/fe7de779a-a3c2-9969-ec1f-82a537ad1db9?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
311957000,8917572,PERUVIAN REEFER,C6UM3,BHS,carrier,carrier,27/04/2026 04:31,CHN,DALIAN,3,3.79,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/ca65d28b3-37df-4bb1-d58c-12626338e41b?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
351537000,8688755,RUI SHENG,3FOH6,PAN,carrier,carrier,05/04/2026 08:34,CHN,NINGBO,4,25.63,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/9d12abf11-16b3-c247-7aed-d56b541266e5?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
351698000,9412749,LADY ROSEBUD,3FAF5,PAN,carrier,carrier,26/04/2026 09:43,JPN,YOKKAICHI,4,4.58,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/4fd0ef491-17e1-8e12-f7dd-5bd27714981d?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
352001478,9940693,TUNA QUEEN,3E2495,PAN,carrier,carrier,27/04/2026 12:27,KOR,BUSAN,3,3.46,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/9867f6c91-147e-4afb-6fe3-a817dc7603e3?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
353079000,9851206,BOYANG ALASKA,3FDP7,PAN,carrier,carrier,19/04/2026 09:49,USA,USA-1554,4,11.58,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/0a70cd00e-e797-112e-6556-0fe8bf7ff656?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
357058000,9227601,NO.2 POHAH,3FWC9,PAN,carrier,carrier,26/04/2026 23:41,USA,DUTCH HARBOR,3,4,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/14c80b768-85e1-7ec2-6e02-23747f821c2f?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
371542000,8714944,NO1 POHAH,3FSS6,PAN,carrier,carrier,27/04/2026 23:24,USA,USA-1824,3,3,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/99406f278-8fa6-82a4-971a-a2017bef20fa?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
412209135,NA,JU LONG JIA YA 3,BZYS4,CHN,fishing,fishing,28/03/2026 11:37,CHN,CHN-170,4,33.5,0,6,2,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/13b2ff18f-fa9a-2e1c-863e-470e0c73a469?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,,"ZHOUSHAN, ZHEJIANG",CHINA,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,CHINA,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY, ,Sister Ship,,,Multiple,"JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ",,"https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE
412209136,8540525,XIN HAI 1259,BZYS5,CHN,fishing,fishing,10/04/2026 09:22,CHN,CHN-2289,4,20.58,0,7,20,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/562a1eaf7-70cf-21c4-2695-d3747bbbe883?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,JU LONG JIA YA 4,"ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA", ,ZHOUSHAN XINHAI FISHERY CO LTD,CHINA,ZHOUSHAN XINHAI FISHERY CO LTD,ZHOUSHAN XINHAI FISHERY CO LTD, ,Sister Ship,,,Human Rights / Forced Labor,"Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","[XIN HAI 1219, XIN HAI 1225]",https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf,TRUE,FALSE
412209139,NA,XIN HAI 1209,BZYS8,CHN,fishing,fishing,10/04/2026 09:17,CHN,CHN-2289,4,20.58,0,4,5,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/51d002bfc-c972-31f8-a9c4-08cdbe926447?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,JU LONG JIA YA 7,"ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA", ,ZHOUSHAN XINHAI FISHERY CO LTD,CHINA,ZHOUSHAN XINHAI FISHERY CO LTD,ZHOUSHAN XINHAI FISHERY CO LTD, ,Sister Ship,,,Human Rights / Forced Labor,"Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ",,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf,TRUE,FALSE
412209142,NA,XINHAI1219,BZYT2,CHN,fishing,fishing,31/03/2026 09:40,CHN,CHN-2289,4,30.58,0,5,3,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/ad5df6b76-6c75-f40d-0033-6c591aebb97d?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,JU LONG JIA YA 9,"ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA", ,ZHOUSHAN XINHAI FISHERY CO LTD,CHINA,ZHOUSHAN XINHAI FISHERY CO LTD,ZHOUSHAN XINHAI FISHERY CO LTD, ,Sister Ship,,,Human Rights / Forced Labor,"Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ",,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf,TRUE,FALSE
412209143,8540264,JU LONG JIA YA 10,BZYT3,CHN,fishing,fishing,31/03/2026 10:54,CHN,CHN-2289,4,30.54,0,6,18,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/b7a7adcfe-e38c-3a68-2b0d-c711d20f237f?&start=2026-03-01&end=2026-04-30,8540264,JU LONG JIA YA 10,China,FISHING,fishing,SQUID_JIGGER,51,https://app.skylight.earth/vesseldetails/412209143?startTime=2026-03-01T00%3A00%3A00Z&endTime=2026-04-29T00%3A00%3A00Z,0,1,0,0,1,0,0,0,0,0,1,Inside Phase 1 only,No,859,50.7,2013,,"ZHOUSHAN, ZHEJIANG",CHINA,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,CHINA,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY, ,Sister Ship,,,Multiple,"JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","[JU LONG JIA YA 28, JU RONG YU 11, JU RONG YU 9]","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE
412331208,NA,FV.LUWEIYUANYUYUN777,BBIT7,CHN,carrier,carrier,03/04/2026 23:55,CHN,SHIDAO,4,27,0,0,0,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/c5a8ad39b-b454-cd67-101b-d51eeeb77a0f?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563,0,2015,,"WEIHAI, SHANDONG",CHINA,SHANDONG BAIMA FISHERY,WEIHAI HUANHAI AQUATIC,CHINA,WEIHAI HUANHAI AQUATIC,WEIHAI HUANHAI AQUATIC, ,Sister Ship,,,Human Rights / Forced Labor,"Vessel owners Weihai Huanhai and Shandong Baima were listed as the owners of the WEI YU 18 - this vessel was the subject of an Outlaw Ocean investigation that found forced labour conditions onboard, which resulted in the death of a crew member",WEI YU 18,https://www.seafoodsource.com/news/premium/supply-trade/calls-for-cbp-action-against-forced-labor-in-seafood-grow-in-wake-of-outlaw-ocean-report,TRUE,FALSE
412420954,NA,XIN HAI 61,BZV2S,CHN,fishing,fishing,15/04/2026 08:08,CHN,NINGBO,4,15.63,0,3,4,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/66c66a829-9843-7841-07f1-2866291e38f2?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,0,2011,ZHE PU YU 12809,"ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA", ,ZHOUSHAN XINHAI FISHERY CO LTD,CHINA,ZHOUSHAN XINHAI FISHERY CO LTD,ZHOUSHAN XINHAI FISHERY CO LTD, ,Sister Ship,,,Human Rights / Forced Labor,"Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ",,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf,TRUE,FALSE
412420956,NA,XIN HAI 62,BZV3S,CHN,fishing,fishing,15/04/2026 08:13,CHN,NINGBO,4,15.63,0,2,28,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/ebae40948-80c7-f3b1-79fc-f49ee969f421?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,0,2012,ZHE PU YU 12807,"ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA", ,ZHOUSHAN XINHAI FISHERY CO LTD,CHINA,ZHOUSHAN XINHAI FISHERY CO LTD,ZHOUSHAN XINHAI FISHERY CO LTD, ,Sister Ship,,,Human Rights / Forced Labor,"Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ",,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf,TRUE,FALSE
412420978,NA,ZHOU YU 903,BZV6W,CHN,fishing,fishing,14/04/2026 08:45,CHN,ZHOUSHAN,4,16.63,0,1,9,TRUE,TRUE,https://globalfishingwatch.org/map/vessel/aea129ecd-d20d-bf87-724b-d3186ec22464?&start=2026-03-01&end=2026-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,43.5,2015,,"ZHOUSHAN, ZHEJIANG",CHINA,CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,CHINA,CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,,"https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
JAC Intrep 005 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",TRUE,FALSE
