Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",cbcc6eb36-6ade-64cf-bc19-5182e73011d1,JPN,GENKICHI MARU NO.27,2024-07-23T00:00:00Z,2024-07-28T23:00:00Z,POLE_AND_LINE,FISHING,432384000,,JH3485,2018-05-02T20:29:42Z,2024-08-23T23:21:06Z,55.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",86747ee66-6fb3-238d-5361-a2a6505cdb65,TWN,JIA CHENG NO.168,2024-08-05T20:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,416004363,,BJ5087,2012-10-15T12:13:31Z,2024-08-23T23:59:39Z,408.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",ebbf24a94-4b15-47c0-51ed-6b3ebdcd96f1,JPN,NO21YAEMARU,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,431704480,,,2016-02-09T03:32:44Z,2024-08-23T23:28:59Z,487.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",fea1a7f91-115a-a9cf-df49-e81050b58878,JPN,NO.85KOFUKUMARU,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,431931000,,JD2708,2021-05-23T06:54:29Z,2024-08-23T23:40:34Z,422.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",df3721930-0f82-a984-06b5-8af92e5f8114,CHN,ZHOU YU 967,2024-07-23T03:00:00Z,2024-08-22T23:00:00Z,INCONCLUSIVE,FISHING,412549576,1033341,BZZG7,2023-10-20T01:56:02Z,2024-08-23T23:59:34Z,467.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",4a7b7a726-62ad-58b6-40e4-474070a9fac4,JPN,58 KONGO MARU,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,431900088,,JH3390,2017-06-24T09:44:41Z,2024-08-23T23:21:49Z,506.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",500ad6048-80cc-41a6-8b7c-0611c9e1f702,TWN,FULL LOAD NO.898,2024-07-28T03:00:00Z,2024-08-06T03:00:00Z,SQUID_JIGGER,FISHING,416005506,9857054,BL2141,2022-12-21T01:43:20Z,2024-08-06T03:56:23Z,173.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",d46be2e94-4c2f-6150-f47f-33b9e4e8a6ac,JPN,KAIENMARU NO.1,2024-07-23T02:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431501724,,,2021-05-31T23:18:55Z,2024-08-23T23:59:34Z,316.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",a03f1cb91-19d8-c564-8ae7-69521f8d59b7,TWN,JINN FWU TSAIR NO.66,2024-07-23T00:00:00Z,2024-07-28T03:00:00Z,DRIFTING_LONGLINES,FISHING,416002291,,BJ4785,2017-09-16T00:32:33Z,2024-08-23T02:24:52Z,108.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",47f692d02-20bb-3607-4104-99f666388b5c,CHN,FUYUANYU660,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412440482,,BVGL8,2020-11-12T20:52:27Z,2024-08-23T22:53:26Z,476.00
