Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416005506,2024-07-28T06:00:00Z,2024-08-06T03:00:00Z,170
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431225000,2024-07-22T03:00:00Z,2024-07-27T01:00:00Z,119
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440243,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,686
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416219600,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,692
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431700350,2024-07-18T00:00:00Z,2024-08-05T04:00:00Z,228
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420938,2024-07-18T17:00:00Z,2024-08-17T03:00:00Z,226
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002799,2024-07-18T00:00:00Z,2024-07-27T06:00:00Z,175
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416251600,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,54
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412421036,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,742
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549032,2024-07-24T18:00:00Z,2024-07-30T15:00:00Z,142
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416000206,2024-07-18T05:00:00Z,2024-07-30T19:00:00Z,79
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431000356,2024-07-24T10:00:00Z,2024-08-13T13:00:00Z,350
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",800030681,2024-07-21T05:00:00Z,2024-08-15T20:00:00Z,1214
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416007978,2024-08-09T13:00:00Z,2024-08-17T23:00:00Z,203
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416252600,2024-08-10T23:00:00Z,2024-08-17T23:00:00Z,85
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549096,2024-07-25T10:00:00Z,2024-08-14T07:00:00Z,24
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416002443,2024-07-18T00:00:00Z,2024-08-17T22:00:00Z,582
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412329683,2024-08-03T07:00:00Z,2024-08-17T05:00:00Z,72
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431722000,2024-07-18T00:00:00Z,2024-08-06T22:00:00Z,479
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416000855,2024-07-18T00:00:00Z,2024-08-04T15:00:00Z,297
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416004048,2024-07-18T01:00:00Z,2024-08-08T04:00:00Z,192
