DFO_VOI,ssvid,imo,vessel_id,shipname,callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_id,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing
FALSE,412209137,,3c5955e5f-f81a-2412-c8eb-cc77f718aa4c,JULONGJIAYA5,BZYS 6,CHN,fishing,fishing,412209137-3c5955e5f-f81a-2412-c8eb-cc77f718aa4c-018ef224e500,2024-04-18 16:58:08.000000 UTC,CHN,TAIZHOU,4,49.29,0,69,32
FALSE,412209138,,602daf37c-cae5-5b97-db44-95c03de6e41a,JU LONG JIA YA 6,BZYS 7,CHN,fishing,inconclusive,412209138-602daf37c-cae5-5b97-db44-95c03de6e41a-018ef0ae5e18,2024-04-18 10:09:03.000000 UTC,CHN,TAIZHOU,4,49.54,1,46,16
TRUE,412209139,,51d002bfc-c972-31f8-a9c4-08cdbe926447,XIN HAI 1209,BZYS8,CHN,fishing,fishing,412209139-51d002bfc-c972-31f8-a9c4-08cdbe926447-018ec25b7730,2024-04-09 10:15:58.000000 UTC,CHN,CHN-2289,4,58.54,1,50,41
TRUE,412209142,,ad5df6b76-6c75-f40d-0033-6c591aebb97d,XIN HAI 1219,BZYT2,CHN,fishing,fishing,412209142-ad5df6b76-6c75-f40d-0033-6c591aebb97d-018ec267c3a0,2024-04-09 10:29:24.000000 UTC,CHN,CHN-2289,4,58.54,0,38,17
FALSE,412209143,8540264,b7a7adcfe-e38c-3a68-2b0d-c711d20f237f,JU LONG JIA YA 10,BZYT3,CHN,fishing,fishing,412209143-b7a7adcfe-e38c-3a68-2b0d-c711d20f237f-018ed1dd15d8,2024-04-12 10:31:51.000000 UTC,CHN,CHN-170,4,55.54,2,96,109
FALSE,412270002,8607373,4822d6e0b-bccc-5a41-edf2-04c872e7111b,LONG TENG,BZZQ6,CHN,fishing,trawlers,412270002-4822d6e0b-bccc-5a41-edf2-04c872e7111b-018ef6f5ed40,2024-04-19 15:24:56.000000 UTC,KOR,BUSAN,4,48.33,2,9,116
FALSE,412327526,,e8f49e604-4aae-e917-e078-3cc8f006bfa8,LURONGYUYANG65874,,CHN,fishing,fishing,412327526-e8f49e604-4aae-e917-e078-3cc8f006bfa8-0190224b36e8,2024-06-16 18:24:33.000000 UTC,CHN,LONGYAN,4,-9.75,0,0,0
FALSE,412329062,,a14cb6579-9710-0ab7-c12f-99621f86147b,LUWEIJINGYU60385,,CHN,fishing,trawlers,412329062-a14cb6579-9710-0ab7-c12f-99621f86147b-019023787fd0,2024-06-16 23:53:38.000000 UTC,CHN,SHIDAO,3,-9.96,0,0,0
FALSE,412329634,8775613,753aac8d7-7b8c-e8c2-c675-64dc9ffef33f,LU PENG YUANYU017,BZSD2,CHN,fishing,squid_jigger,412329634-753aac8d7-7b8c-e8c2-c675-64dc9ffef33f-018fc2e606b0,2024-05-29 05:50:06.000000 UTC,KOR,BUSAN,4,8.75,0,8,5
FALSE,412329635,8775625,ece9b1311-1c1a-370d-d4b0-796bba71d36f,LU PENG YUAN YU 018,BZSD3,CHN,fishing,squid_jigger,412329635-ece9b1311-1c1a-370d-d4b0-796bba71d36f-018fcdd16010,2024-05-31 08:43:22.000000 UTC,KOR,BUSAN,4,6.63,0,7,2
