Vessel_Name,MMSI,IMO,gfw_flag,CallSign,IHS_GrossTonnage,IHS_LengthOverallLOA(Meters),IHS_YearOfBuild,IHS_ExName,geartype_best,IHS_PortofRegistry,CountryOfControlName,IHS_GroupBeneficialOwner,IHS_RegisteredOwner,IHS_RegisteredOwnerCountryOfRegistration,IHS_Operator,IHS_ShipManager,IHS_TechnicalManager,Non-Compliance History (yes / sister ship),Type of Non-Compliance,Vessel Non-Compliance Description,SisterShip(s)Type of Non-Compliance,Sister Ship Non-Compliance Description,SisterShipWithNonComplianceConcerns,Sources,GD_sistership_MMSI,GD_sistership_IMO,vessel_id,poor_id,trip_start,trip_duration_days,start_port_iso3,start_port_label,in_transit_aoi_p1,in_transit_aoi_p2,in_primary_area_p1,in_primary_area_p2,num_encounters,num_loitering,num_fishing,vv_url,skylight_url,transit_p1_dark_rendezvous,transit_p1_fishing_activity_history,transit_p1_standard_rendezvous,transit_p1_viirs,transit_p1_sar_sentinel1,transit_p1_eo_sentinel2,transit_p1_eo_landsat_8_9,transit_p2_dark_rendezvous,transit_p2_fishing_activity_history,transit_p2_standard_rendezvous,transit_p2_viirs,transit_p2_sar_sentinel1,transit_p2_eo_sentinel2,transit_p2_eo_landsat_8_9,primary_area_p1_dark_rendezvous,primary_area_p1_fishing_activity_history,primary_area_p1_standard_rendezvous,primary_area_p1_viirs,primary_area_p1_sar_sentinel1,primary_area_p1_eo_sentinel2,primary_area_p1_eo_landsat_8_9,primary_area_p2_dark_rendezvous,primary_area_p2_fishing_activity_history,primary_area_p2_standard_rendezvous,primary_area_p2_viirs,primary_area_p2_sar_sentinel1,primary_area_p2_eo_sentinel2,primary_area_p2_eo_landsat_8_9,Phase II New Vessel
KINEIMARU NO.158,432626000,9488231,JPN,7JCB,439,58.5,2007,,drifting_longlines,"KAMAISHI, IWATE",JAPAN, ,HAMAKO SUISAN KK,JAPAN,HAMAKO SUISAN KK,HAMAKO SUISAN KK, ,Sister Ship,,,IUU,"KINEI MARU NO. 128 detected by AIS, Oceana, Global Fishing Watch allegedly fishing without a license in the EEZ of Mauritania",[KINEI MARU NO. 128],C4ADS internal documents,[432367000],[8803991],fcdb4c7e8-80ea-5d7d-7b49-68af5bd5edee,FALSE,2025-04-17T05:36:00Z,19.75,NCL,NOUMEA,FALSE,FALSE,FALSE,FALSE,0,7,44,https://globalfishingwatch.org/map/vessel/fcdb4c7e8-80ea-5d7d-7b49-68af5bd5edee?&start=2025-04-15&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412549338:1702089636:2842893:912787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FUYUANYU8731,412549357,9930557,CHN,BZW9N,1653,73.9,2021,,fishing,"FUZHOU, FUJIAN",CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,Sister Ship,,,IUU,"Multiple vessels in fleet detected by AIS, Oceana, Global Fishing Watch allegedly fishing in Mauritania EEZ without a license","[FU YUAN YU 813, FU YUAN YU 812, FU YUAN YU 802, FU YUAN YU 809, FU YUAN YU 099, FU YUAN YU 811, FU YUAN YU 808, FU YUAN YU 097, FU YUAN YU 968, FU YUAN YU 971, FU YUAN YU 967, FU YUAN YU 100, FU YUAN YU 969]",C4ADS internal documents,"[412440176, 412440175, 412110429, 412440335, 412440278, 412110221, 412440336, 412440173, 412440334, 412440332, 412440285, 412110427, 412110441]","[8457065, 8439532, 8438942, 8439520, 8439518, 8440581, 8439037, 8440579, 8438928, 8440567, 8439556, 8440505, 8439025]",7f07e7a57-7de5-4c9f-6876-b6a56b09f918,FALSE,2025-04-11T04:16:00Z,25.79,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,24,20,https://globalfishingwatch.org/map/vessel/7f07e7a57-7de5-4c9f-6876-b6a56b09f918?&start=2025-04-09&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:431116000:1673625609:3543134:1166805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FUYUANYU8732,412549358,9930571,CHN,BZW1O,1653,73.9,2021,,fishing,"FUZHOU, FUJIAN",CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD, ,Sister Ship,,,IUU,"Multiple vessels in fleet detected by AIS, Oceana, Global Fishing Watch allegedly fishing in Mauritania EEZ without a license","[FU YUAN YU 813, FU YUAN YU 812, FU YUAN YU 802, FU YUAN YU 809, FU YUAN YU 099, FU YUAN YU 811, FU YUAN YU 808, FU YUAN YU 097, FU YUAN YU 968, FU YUAN YU 971, FU YUAN YU 967, FU YUAN YU 100, FU YUAN YU 969]",C4ADS internal documents,"[412440176, 412440175, 412110429, 412440335, 412440278, 412110221, 412440336, 412440173, 412440334, 412440332, 412440285, 412110427, 412110441]","[8457065, 8439532, 8438942, 8439520, 8439518, 8440581, 8439037, 8440579, 8438928, 8440567, 8439556, 8440505, 8439025]",e886adf20-03c3-92de-8a10-0469a028ca3e,FALSE,2025-04-11T11:52:00Z,25.5,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,30,26,https://globalfishingwatch.org/map/vessel/e886adf20-03c3-92de-8a10-0469a028ca3e?&start=2025-04-09&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:431731000:1704818314:1549928:984932,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FU YUAN YU 8729,412549355,9930545,CHN,BZW7N,1653,73.9,2021,,fishing,"FUZHOU, FUJIAN",CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD, ,Sister Ship,,,IUU,"Multiple vessels in fleet detected by AIS, Oceana, Global Fishing Watch allegedly fishing in Mauritania EEZ without a license","[FU YUAN YU 813, FU YUAN YU 812, FU YUAN YU 802, FU YUAN YU 809, FU YUAN YU 099, FU YUAN YU 811, FU YUAN YU 808, FU YUAN YU 097, FU YUAN YU 968, FU YUAN YU 971, FU YUAN YU 967, FU YUAN YU 100, FU YUAN YU 969]",C4ADS internal documents,"[412440176, 412440175, 412110429, 412440335, 412440278, 412110221, 412440336, 412440173, 412440334, 412440332, 412440285, 412110427, 412110441]","[8457065, 8439532, 8438942, 8439520, 8439518, 8440581, 8439037, 8440579, 8438928, 8440567, 8439556, 8440505, 8439025]",d812ef11e-ec04-257e-e222-e463b42a7f0d,FALSE,2025-04-11T05:43:00Z,25.75,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,25,15,https://globalfishingwatch.org/map/vessel/d812ef11e-ec04-257e-e222-e463b42a7f0d?&start=2025-04-09&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:432374000:1664116130:1005566:999142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FU YUAN YU 8730,412549356,9930583,CHN,BZW8N,1653,73.9,2021,,fishing,"FUZHOU, FUJIAN",CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD, ,Sister Ship,,,IUU,"Multiple vessels in fleet detected by AIS, Oceana, Global Fishing Watch allegedly fishing in Mauritania EEZ without a license","[FU YUAN YU 813, FU YUAN YU 812, FU YUAN YU 802, FU YUAN YU 809, FU YUAN YU 099, FU YUAN YU 811, FU YUAN YU 808, FU YUAN YU 097, FU YUAN YU 968, FU YUAN YU 971, FU YUAN YU 967, FU YUAN YU 100, FU YUAN YU 969]",C4ADS internal documents,"[412440176, 412440175, 412110429, 412440335, 412440278, 412110221, 412440336, 412440173, 412440334, 412440332, 412440285, 412110427, 412110441]","[8457065, 8439532, 8438942, 8439520, 8439518, 8440581, 8439037, 8440579, 8438928, 8440567, 8439556, 8440505, 8439025]",c41a9b65a-a322-f1f8-c78d-1dd5eb6c37ab,FALSE,2025-04-11T03:43:00Z,25.83,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,27,24,https://globalfishingwatch.org/map/vessel/c41a9b65a-a322-f1f8-c78d-1dd5eb6c37ab?&start=2025-04-09&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:432626000:1681407226:87488:1206127,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FU YUAN YU 8733,412549359,9930569,CHN,BZW20,1653,73.9,2021,,fishing,"FUZHOU, FUJIAN",CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD,CHINA,HONGDONG FISHERY CO LTD,HONGDONG FISHERY CO LTD, ,Sister Ship,,,IUU,"Multiple vessels in fleet detected by AIS, Oceana, Global Fishing Watch allegedly fishing in Mauritania EEZ without a license","[FU YUAN YU 813, FU YUAN YU 812, FU YUAN YU 802, FU YUAN YU 809, FU YUAN YU 099, FU YUAN YU 811, FU YUAN YU 808, FU YUAN YU 097, FU YUAN YU 968, FU YUAN YU 971, FU YUAN YU 967, FU YUAN YU 100, FU YUAN YU 969]",C4ADS internal documents,"[412440176, 412440175, 412110429, 412440335, 412440278, 412110221, 412440336, 412440173, 412440334, 412440332, 412440285, 412110427, 412110441]","[8457065, 8439532, 8438942, 8439520, 8439518, 8440581, 8439037, 8440579, 8438928, 8440567, 8439556, 8440505, 8439025]",b694893db-b324-1ea5-1cf7-0384162a02da,FALSE,2025-04-17T02:23:00Z,19.88,CHN,TAIZHOU,FALSE,TRUE,TRUE,TRUE,0,24,19,https://globalfishingwatch.org/map/vessel/b694893db-b324-1ea5-1cf7-0384162a02da?&start=2025-04-15&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:441098000:1681407229:288319:852004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
JIN HO NO33,416070700,8551017,TWN,BJ4621,79,27,2000,,drifting_longlines,KAOHSIUNG,TAIWAN ,HORNG S-A,HORNG S-A,TAIWAN ,HORNG S-A,HORNG S-A, ,Sister Ship,,,IUU,Sistership JIN CHING FA was fined by Taiwan Fisheries Agency in 2024 for operating in the EEZ of Palau without authorisation,[JIN CHING FA],Taiwan Fisheries Agency Statistics of Infringements,,,d91367f21-19b5-12e5-b7ee-e5ae62aa4053,FALSE,2025-04-12T01:48:00Z,24.92,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,3,6,https://globalfishingwatch.org/map/vessel/d91367f21-19b5-12e5-b7ee-e5ae62aa4053?&start=2025-04-10&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:416000141:1691197208:3018698:1145821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,
JIN MAAN SHYANG 12,416000358,8550984,TWN,BJ4673,76,26.15,2001,,drifting_longlines,KAOHSIUNG,TAIWAN ,HORNG S-A,HORNG S-A,TAIWAN ,HORNG S-A,HORNG S-A, ,Sister Ship,,,IUU,Sistership JIN CHING FA was fined by Taiwan Fisheries Agency in 2024 for operating in the EEZ of Palau without authorisation,JIN CHING FA,Taiwan Fisheries Agency Statistics of Infringements,,,eeaa46846-6fac-5ecd-379d-20388da72ae3,FALSE,2025-04-16T01:37:00Z,20.92,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,9,7,https://globalfishingwatch.org/map/vessel/eeaa46846-6fac-5ecd-379d-20388da72ae3?&start=2025-04-14&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:416001665:1690855272:3004368:1124710,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,
FUYUANYU081,412440478,8551744,CHN,BZUN7,1010,62.6,2014,,fishing,"FUZHOU, FUJIAN",CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD, ,Sister Ship,,,Other,FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,,,087d7a1c4-484c-8bbd-b3d3-8e3262a76ead,FALSE,2025-03-26T11:20:00Z,41.5,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,39,7,https://globalfishingwatch.org/map/vessel/087d7a1c4-484c-8bbd-b3d3-8e3262a76ead?&start=2025-03-24&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:356155000:1681428405:751743:879352,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FUYUANYU079,412440423,8551627,CHN,BZU7V,1012,62.6,2014,,fishing,"FUZHOU, FUJIAN",CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD, ,Sister Ship,,,Other,FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,,,dfbca3368-8926-3a4d-a28c-77d49a7c00f8,FALSE,2025-03-28T05:00:00Z,39.75,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,2,3,https://globalfishingwatch.org/map/vessel/dfbca3368-8926-3a4d-a28c-77d49a7c00f8?&start=2025-03-26&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:356399000:1677570550:763670:871236,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FU YUAN YU 080,412440477,8551732,CHN,BZUN6,1012,62.6,2014,,fishing,"FUZHOU, FUJIAN",CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD, ,Sister Ship,,,Other,FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023,,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,,,b01e010be-ed85-a414-3147-592544988e3d,FALSE,2025-04-24T10:45:00Z,12.54,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,0,2,https://globalfishingwatch.org/map/vessel/b01e010be-ed85-a414-3147-592544988e3d?&start=2025-04-22&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412440487:1679844077:2986708:1146332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
FU YUAN YU 083,412440424,8551768,,,1012,62.6,2014,,,"FUZHOU, FUJIAN",CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD,CHINA,JINXIN OCEAN FISHERY CO LTD,JINXIN OCEAN FISHERY CO LTD, ,Sister Ship,,,Other,FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023,,https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082,,,,,,,,,,,,,,,,,https://sc-production.skylight.earth/vesseldetails/B:440104000:1725983224:1832534:1417755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
SHOSHIN MARU NO81,431731000,9931264,JPN,7KLT,460,57.08,2022,,drifting_longlines,"AOMORI, AOMORI",JAPAN, ,MARUKICHI KK,JAPAN,MARUKICHI KK,MARUKICHI KK, ,Sister Ship,,,IUU,"SHOSHIN MARU NO. 38 detected by AIS, Oceana, Global Fishing Watch allegedly fishing without a license in the EEZ of Mauritania","[SHOSHIN MARU NO. 83, SHOSHIN MARU NO. 80]",C4ADS internal documents,"[431802000, 431038000]","[9135391, 9167813]",d67e81a69-9630-d859-459c-12841cc2d4a6,FALSE,2025-04-29T09:01:00Z,7.58,JPN,HACHINOHE,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/d67e81a69-9630-d859-459c-12841cc2d4a6?&start=2025-04-27&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412549216:1698190760:3379453:1350865,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,0,1,5,0,0,0,2,0,1,5,0,0,0,2,0,1,5,0,0,0,
NO 355 OYANG,441098000,8905593,KOR,6MNI,622,56.07,1989,,drifting_longlines,BUSAN,"KOREA, SOUTH", ,OYANG CORP,"KOREA, SOUTH",OYANG CORP,OYANG CORP,SAJO INDUSTRIES CO LTD,Sister Ship,,,Multiple,Crew members on the OYANG NO. 77 reported withholding of wages; OYANG NO. 77 caught illegally dumping fish in New Zealand's EEZ; using illegal nets in Argentina's EEZ,[OYANG NO. 77],"http://www.lexisnexis.co.nz/en-nz/products/rule-of-law/november-2014-issue/2k1-case-study-trafficking-in-new-zealand-fishing-industry.page
C4ads internal sources",[440256000],[7416612],26e03658e-e3bc-25bf-8af2-6ab46323048e,FALSE,2025-05-03T09:43:00Z,3.58,KOR,BUSAN,FALSE,FALSE,FALSE,FALSE,0,0,0,https://globalfishingwatch.org/map/vessel/26e03658e-e3bc-25bf-8af2-6ab46323048e?&start=2025-05-01&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:440055000:1705207276:68716:937702,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
LURONGYUANYU301,412549133,9895367,CHN,BZZU4,899,53.98,2019,,fishing,"SHIDAO, SHANDONG",CHINA,SHANDONG SHAWODAO OCEAN,RONGCHENG CITY RONGYUAN FISH,CHINA,RONGCHENG CITY RONGYUAN FISH,RONGCHENG CITY RONGYUAN FISH, ,Sister Ship,,,Multiple,LU RONG YUAN YU 668 IUU fishing in the Argentine EEZ and evaded arrest. LU RONG YUAN YU 668/977/978 disembarked dead crew members. LU RONG YUAN YU 978 transshiped without authorization in Uruguay EEZ. Forced labor indicators on the LU RONG YUAN YU 559. 6 fishing vessels in the Rongcheng Rongyuan fleet were accused of switching fishing gear types to an unauthorised type whilst operating within IOTC convention area in 2019. The vessels were recalled to China for inspection by China MOA. ,,"https://web.archive.org/web/20210601160526/HTTPS://WWW.GREENPEACE.ORG/STATIC/PLANET4-SOUTHEASTASIA-STATELESS/2021/05/EF65BFE1-GREENPEACE-2021-FORCED-LABOUR-AT-SEA-DIGITAL_FINAL.PDF
https://b2p.theoutlawocean.com/vessels/lu-rong-yuan-yu-678
https://www.infobae.com/america/medio-ambiente/2022/10/04/como-afecta-la-pesca-ilegal-china-en-uruguay-depredacion-del-mar-y-ausencia-de-controles/ 
",,,71e26b0f7-7c79-c2ba-7708-9f7ce6358652,FALSE,2025-03-28T20:58:00Z,39.13,KOR,BUSAN,FALSE,TRUE,TRUE,TRUE,0,45,27,https://globalfishingwatch.org/map/vessel/71e26b0f7-7c79-c2ba-7708-9f7ce6358652?&start=2025-03-26&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:431517000:1572667022:3215947:1288862,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
377 ORYONG,441650000,9047893,KOR,DTBX2,604,55.16,1992,RYOEI MARU NO. 58,drifting_longlines,BUSAN,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD, ,Sister Ship,,,Multiple,"ORYONG NO. 721 charged in the Marshall Islands for fishing without a license. Crew members reported abusive working and living conditions prior on the ORYONG NO. 501 prior to its sinking, where 50 crew were reporting missing. SAJO FAMILIA caught fishing without VMS in WCPFC Convention area. ORYONG NO. 316 had unrecorded trannshipment in WCPFC. ","[ORYONG NO. 721, ORYONG NO. 501, ORYONG NO. 735, SAJO FAMILIA, ORYONG NO. 316]","https://issuu.com/apilkorea/docs/tied_at_sea_english
https://web.archive.org/web/20210107173451/HTTPS://ISSUU.COM/GPSEOUL/DOCS/APR-2013-IUU-REPORT-KOR
https://web.archive.org/web/20200514074741/HTTPS://WWW.RNZ.CO.NZ/INTERNATIONAL/PACIFIC-NEWS/416285/EXPERT-FISHERIES-MANAGEMENT-101-WORKS-IN-MARSHALL-ISLANDS","[431701040, 440046000]","[9619323, 6412580, 7388504, 8815700, 8821369, 9042037]",70abdc327-7719-f298-5b2f-b557b92fce62,FALSE,2025-04-30T08:23:00Z,6.63,KOR,BUSAN,FALSE,FALSE,FALSE,FALSE,0,0,0,https://globalfishingwatch.org/map/vessel/70abdc327-7719-f298-5b2f-b557b92fce62?&start=2025-04-28&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412440362:1655807621:2773563:1314434,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
305 ORYONG,440656000,8703878,KOR,HLVJ,584,53.29,1987,,drifting_longlines,BUSAN,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,Sister Ship,,,Multiple,"ORYONG NO. 721 charged in the Marshall Islands for fishing without a license. Crew members reported abusive working and living conditions prior on the ORYONG NO. 501 prior to its sinking, where 50 crew were reporting missing. SAJO FAMILIA caught fishing without VMS in WCPFC Convention area. ORYONG NO. 316 had unrecorded trannshipment in WCPFC. ","[ORYONG NO. 721, ORYONG NO. 501, ORYONG NO. 735, SAJO FAMILIA, ORYONG NO. 316]","https://issuu.com/apilkorea/docs/tied_at_sea_english
https://web.archive.org/web/20210107173451/HTTPS://ISSUU.COM/GPSEOUL/DOCS/APR-2013-IUU-REPORT-KOR
https://web.archive.org/web/20200514074741/HTTPS://WWW.RNZ.CO.NZ/INTERNATIONAL/PACIFIC-NEWS/416285/EXPERT-FISHERIES-MANAGEMENT-101-WORKS-IN-MARSHALL-ISLANDS","[431701040, 440046000]","[9619323, 6412580, 7388504, 8815700, 8821369, 9042037]",e732d37ee-e562-6dde-3d9d-20eda364b7db,FALSE,2025-04-27T22:19:00Z,9.04,MHL,MAJURO,FALSE,FALSE,FALSE,FALSE,0,4,7,https://globalfishingwatch.org/map/vessel/e732d37ee-e562-6dde-3d9d-20eda364b7db?&start=2025-04-25&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412440371:1644891223:2987172:1146578,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
731ORYONG,440920000,8920919,KOR,DTAD4,582,53.3,1990,OYANG NO. 373,drifting_longlines,BUSAN,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,"KOREA, SOUTH",SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,SAJO INDUSTRIES CO LTD,Sister Ship,,,Multiple,"ORYONG NO. 721 charged in the Marshall Islands for fishing without a license. Crew members reported abusive working and living conditions prior on the ORYONG NO. 501 prior to its sinking, where 50 crew were reporting missing. SAJO FAMILIA caught fishing without VMS in WCPFC Convention area. ORYONG NO. 316 had unrecorded trannshipment in WCPFC. ","[ORYONG NO. 721, ORYONG NO. 501, ORYONG NO. 735, SAJO FAMILIA, ORYONG NO. 316]","https://issuu.com/apilkorea/docs/tied_at_sea_english
https://web.archive.org/web/20210107173451/HTTPS://ISSUU.COM/GPSEOUL/DOCS/APR-2013-IUU-REPORT-KOR
https://web.archive.org/web/20200514074741/HTTPS://WWW.RNZ.CO.NZ/INTERNATIONAL/PACIFIC-NEWS/416285/EXPERT-FISHERIES-MANAGEMENT-101-WORKS-IN-MARSHALL-ISLANDS","[431701040, 440046000]","[9619323, 6412580, 7388504, 8815700, 8821369, 9042037]",eae223a8e-e68e-8bde-2dc8-7f1cd084d4d7,FALSE,2025-04-30T04:48:00Z,6.79,KOR,BUSAN,FALSE,TRUE,TRUE,FALSE,0,0,0,https://globalfishingwatch.org/map/vessel/eae223a8e-e68e-8bde-2dc8-7f1cd084d4d7?&start=2025-04-28&end=2025-05-08,https://sc-production.skylight.earth/vesseldetails/B:412549513:1692186087:2531696:1247616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
