vessel_id,ssvid,trip_start_timestamp,start_port_iso3,start_port_name,num_encounters,num_fishing,num_AISdisabling,percent_ais_voyage,possible_spoofing
2ec25bd2d-dfa6-1ca6-107f-16be1d4a25be,416003636,2024-11-05 10:53:50.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
bb001edef-f570-c233-977d-80e5cf348a08,416003677,2023-03-13 17:17:10.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
7422f3d54-4ee7-5f91-f88a-5ddae8a353f3,416003677,2024-09-06 02:07:06.000000 UTC,TWN,DONGGANG,0,103,0,54.7,FALSE
055c0da60-014b-fa93-1538-0503d4667f33,416003793,2024-04-11 08:05:25.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
d7e7ef787-7665-c4c0-2952-d4823ac06096,416003793,2024-09-19 01:45:45.000000 UTC,TWN,LIUQIU,1,42,0,91.2,FALSE
7cf053a42-2bae-5ace-11a0-ba8a5ddfe7f2,416003814,2024-05-11 13:53:49.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
a0050baca-a3a9-0ac3-856f-26015b6c5e59,416003814,2024-08-25 06:37:59.000000 UTC,CHN,HONGKONG,1,79,0,92,FALSE
d80563ec7-7c48-aa08-af6a-2a32d0e9e1bf,416004098,2024-03-26 02:19:02.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
fc2d7b443-337b-60a8-0235-8f6986596eed,416004098,2024-10-29 08:42:21.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
b7490513d-df7c-b7eb-1389-d71eb53ed849,416004098,2024-11-06 06:21:18.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
e80df4101-1d1e-bc31-5dba-4a31d0744237,416004158,2024-11-06 23:45:09.000000 UTC,TWN,DONGGANG,0,0,0,,TRUE
377065f26-67c2-f2fb-7060-9a69ff1ee9ba,416004299,2024-05-15 12:49:46.000000 UTC,TWN,LIUQIU,0,2,1,,FALSE
d73b8df5d-d008-b565-2abe-41c8784bcfd7,416004299,2024-08-22 00:45:55.000000 UTC,TWN,DONGGANG,2,41,4,78.4,FALSE
d422c09ac-cd4d-e6ed-c1f7-22e5d36b6ae4,416004389,2024-09-20 03:40:32.000000 UTC,TWN,DONGGANG,0,20,0,28.4,FALSE
ddcfb6136-660b-ac92-903b-8fcd6e1e8a77,416004442,2024-10-05 01:30:21.000000 UTC,TWN,DONGGANG,0,12,0,87.1,FALSE
008ce4a3b-b4ec-72be-9d85-6c8e31592855,416009187,2024-09-22 07:14:55.000000 UTC,CHN,HONGKONG,0,49,0,50.6,FALSE
7975af819-9b90-36d1-8982-2cacf1667569,416076700,2024-11-03 01:38:51.000000 UTC,TWN,DONGGANG,0,0,0,25.3,FALSE
4862e9b59-94a0-5f4c-f41a-f2c2051da22c,416099800,2024-11-06 23:58:51.000000 UTC,TWN,KAOHSIUNG,0,0,0,,FALSE
fda82c29d-db95-56db-77e2-32d871d290b9,416154700,2024-08-05 13:06:46.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
14a1f5989-94ab-194d-08cc-3c0ca528ca0e,416154700,2024-11-06 07:15:10.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
8048b7364-4bbe-450f-e017-30f553dc6a70,416171600,2024-11-06 23:58:00.000000 UTC,TWN,KAOHSIUNG,0,0,0,,FALSE
87dd129f6-6089-0e6c-14ad-ffd0c1a3f1b7,416196500,2024-05-30 07:05:26.000000 UTC,TWN,KAOHSIUNG,0,0,0,,FALSE
b3b98676f-f90f-3d1c-248f-5213cc8b3cb3,416196500,2024-10-15 01:45:09.000000 UTC,TWN,DONGGANG,0,16,0,52.5,FALSE
33edbe587-7ab2-ceb8-faaa-71f64e80dbc7,416218500,2024-10-24 06:33:58.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
d1963e90b-b4fa-14e1-8e1e-a90d30eada0a,416218500,2024-11-02 01:05:40.000000 UTC,TWN,DONGGANG,0,0,0,24.2,FALSE
640185205-5f1d-7093-9275-05d12654041f,416231500,2024-05-02 03:47:20.000000 UTC,TWN,DONGGANG,0,0,0,,FALSE
